ID	발행연월	록키 워드 
243	2016	자녀 전면 개방 정책 발표 자녀 정책 역사 뒤안 인해 80년대 90년대 출생 세대 오늘날 산아 제한 문제 현재 존재 글 산아 제한 세대 성비 불균형 문제 원류 천착 개인 출산 관점 정책 수립 과정 재현 분석 글 분석 대상 통상 시기 구분 법 산아 제한 정책 시행 균질 시기 국가 개인 생육 충돌 조정 시기 특징 정부 농촌 저항 무마 실시 반 정책 집약 딸 경우 출산 허용 반 정책 농촌 가부장 용인 정책 여성 사회주의 유제 도시 농촌 원화 차별 호적 극복 대상 농촌 사회 봉건 습속 본질 경제 사회 문제 수용 자신 신체 낙태 임신 반복 방식 대응 개구리 서사 여성 장 소성 젠더 질서 억압 간과 여성 남편 아들 형상 정책 실시 민간 적응 책 여아 출산 신고 거짓 신고 방식 오늘날 명 무호 적자 양산 무호 적자 차별 무호 적자 세대 세대 세습 무호 적자 하층 여성 몸 차별 재생산 계획 생육 90년대 농촌 여성 반 정책 낙태 
244	2012	주택 투자 대상 가치 인식 한계 주민 사용 가치관 점 소비자 문화 다양성 요구 추세 헤이 예술 마을 경우 계획 초기 단계 문화예술 인 자발 연대 문화 예술 마을 이상 주거 형성 생태 환경 최대한 보존 노력 관성 격자 형 개발 토지 이용 심미 디자인 주택 조형물 문화 예술 전시 공연 공존 주거 단지 계획 기존 주거지 개발 차별 실험 선구 주거 단지 개발 시도 예술인 공동 주거 지인 헤이 예술 마을 사례 지로 선정 방문객 이용자 관점 체감 측면 탐색 방문객 인식 요인 탐색 요인 분석 도출 최종 도출 개 요인 구성 항목 요인 주거 환경 관련 편안 유감 정서 안정 자유 정화 감 요인 건축물 다양성 실험 기함 요인 건축물 자연 조화 경관 미 세련미 요인 주거 환경 자연 친환경 성 변화 감 계절 감 마지막 요인 마을 관련 이국성 급성 전 원성 회화 성 방문객 인식 분석 헤이 예술 마을 주거 단지 주거 환경 인식 요인 분석 
245	2013	대구 원 도심 지역 형성 골목 역사 문화 가치 해석 스토리텔링 재구성 과정 스토리텔링 확보 방법 골목 인문 재현 생활 문화 의미 해석 점 도시 골목 인간 실존 역사 문화 경험 기억 실재 규정 역할 도시 골목 중 대구 원 도심 골목 물리 삶 소통 관계 재구성 과정 가지 사례 골목 재구성 활용 스토리텔링 의미 인간 생활사 연결 서사 구조 글쓰기 의미 측면 고찰 인간 연결 스토리텔링 대중 읽기 유도 자극제 이야기 정체성 특징 이해 점 이야기 각인 효과 이미지 형성 지속 점 특징 인해 기획 인간 소통 방법론 점 논문 대구 택리지 도심 시간 포켓 북 대구 골목 테마 가지 스토리텔링 사례 골목 스토리텔링 구현 과정 시민 중심 체험 중심 생활 중심 스토리텔링 의미 가치 재확인 골목 스토리텔링 원 도심 텍스트 
246	2011	근래 재래시장 문화 예술 결합 현상 등장 현상 현대 예술 위기 재래시장 쇠퇴 해법 만남 관객 유리 예술 비판 기존 예술 제도 반성 미술관 갤러리 예술 활동 재래시장 위기 시설 경영 현대 대책 한계 상업 재래시장 시장 역사 문화 주목 활동 등장 재래시장 역사 문화 고찰 상인 삶 이해 기초 문화 예술 활동 공동체 공공 담론 기초 시장 예술 만남 예술 문화 학제간 연구 예술 인류학 필요 요청 공공 예술 재래시장 활성 공공 공동체 예술 인류학 
247	2013	관점 다 문화 형성 분포 특성 인종 민족 국적 차이 다 문화 구조 영향 조사 다 문화 차별 이중 시선 파악 다 문화 인종 민족 국적 언어 종교 외국인 공동체 사회 자본 분화 개별 사회 차별 편견 지역 특성 분포 외부 세력 대중 외국인 특정 구체 사회 자본 형성 외국인 특정 점유 외부 힘 관계 망 성격 변화 구조 재구성 선망 배제 이중 시선 상품 가치 시장 가치 논리 다 문화 양극 차별 인해 에 시 티 국가 사회 상품 주변 주변 외국인 밀집 지역 치안 유지 슬럼 주거 환경 개선 작업 조사 다 문화 수용 국 주도 위치 외국인 태도 대부분 수동 다 문화 공생 지속 생성 유지 정체성 문화 상호 인정 외국인 주체 실천 행위 노력 병행 다 문화 국가 사회 차별 상품 주변 
248	2013	브랜드 이미지 분배 형평 사회 배제 
249	2011	정체성 공공 디자인 가이드라인 아이덴티티 공공 
250	2011	사람 도시 환경 질 도시 특색 관심 지속 증가 실제 도시 공공 설계 적용 실증 결과 부족 실정 실제 특화 가로 설계 시 참고 자료 목적 서울 대표 상업 지역 명동 대상 가로 정체성 영향 가로 물리 요소 분석 에드워드 정체성 형성 이론 바탕 회귀 모형 설정 의미 활동 물리 환경 구분 가로 구성 요소 독립 변수 정체성 종속 변수 회귀분석 실시 결과 명동 가로 간 명동 정체성 정도 차이 차이 비 보도 포장 건물 전면 가로 구성 물리 요소 기인 확인 향후 상업 지역 정체성 증가 물리 요소 방향 설계 시행 정체성 상업 가로 명동 회귀분석 
251	2012	장 누 벨 빛 프로그램 
252	2015	상실 비 글로벌 이동성 도시 건축 
253	2015	특정 의미 부여 정체성 공동 가치 생성 가치 창출 활동 브랜드 이미지 파악 마케팅 건축학 도시 건설 학 분야 인상 브랜드 이미지 구축 노력 설문 조사 포함 대면 조사 방법 대부분 주관 작업 측정 인력 고도 전문 인력 소요 비용 발생 객관 비용 효과 브랜드 이미지 조사 방법 필요 논문 텍스트 이닝 브랜드 이미지 강도 객관 비용 방법 목적 제안 방법 브랜드 이미지 구성 요인 키워드 관련 웹 문서 추출 추출 정보 특정 브랜드 이미지 강도 측정 방법 성능 홀 방법 평가 사용 세계 개 도시 이미지 인덱스 순위 일 치도 검증 성능 비교 임의 순위 방법 설문 방식 일반인 평가 방법 논문 방법 사용 방법 학습 유의 추정 평가 항목 반영 방법 비교 결과 제안 방법론 비용 효율 적 시성 확장 신뢰 측면 우수 제안 방법론 홀 방식 상호 보완 사용 향후 브랜드 이미지 형성 속성 등장 횟수 계산 브랜드 태도 연상 브랜드 자산 인과관계 자동 파악 부분 구현 실증 실험 예정 텍스트 이닝 브랜드 이미지 브랜드 주제어 분석 홀 인덱스 
254	2015	논문 메디치 가문 컬렉션 사회 관점 변화 통사 분석 로렌 초의 보물 메디치 가문 초기 컬렉션 가문 기억 국적 물건 구성 동시 부 권력 과시 욕구 결합 이후 코시 모 토스카나 공국 건설 바 사리 주문 피치 중심 도시 기획 결과 컬렉션 특정 재현 역사 정당 감상자 설득 역사 가치 획득 용도 배치 예술품 사회 관점 다원 이후 계몽주의 시대 변화 제도 관점 의미 메디치 가문 마지막 직계 후손 안나 마리아 루이사 메디치 공국 권력 로렌 가문 이양하 과정 과거 역사 가치 인식 메디치 컬렉션 피렌체 반출 조건 컬렉션 기증 이후 로렌 가문 레오폴드 대공 결합 컬렉션 역사 맥락 분리 박물관 제도 정비 배치 과정 우피치 미술관 학 예관 루이지 란치 백과사전 분류 체계 바탕 문화 관점 이전 메디치 가문 컬렉션 특징 구성 역사 정체성 교육 유용성 보편 관점 대체 우피치 미술관 근대 공공 박물관 변화 우피치 미술관 메디치 컬렉션 로렌 초의 보물 코시 모 조르조 바사리 레오 폴 루이지 란치 
255	2015	블로그 발견 사진 담론 생산 경험 사회 문화 실증 발현 간주 사진 서울 도시 자료 채택 블로거 사진 대표 표집 서울시 도시 실천 유형 기본 데이터 바탕 서울 풍경 구성 다음 개 지배 시선 확인 우편 엽서 미학 박물관 시선 세부 일상 세계화 스펙터클 이국정서 시선 도시 체험 지칭 시선 작업 재현 분석 개인 사진 작업 사회학 의미 발견 사진 사회학 접근 구분 특정 현실 사진 전체 코 퍼스 이론 환원 시각 지식 생산 문화 분석학 구분 문화 현상 질적 연구 방법 디자인 사진 영상 도입 시험 프로젝트 문제 서울 도시 실천 측면 베냐민 아케이드 프로젝트 르 토의 문화 실천 김홍 중 골목길 이론 영감 서울 사진 블로그 도시 스펙터클 문화 분석학 영상 방법론 시선 풍경 베냐민 노스탤지어 
256	2013	목적 문화 관광 축제 체험 요소 브랜드 가치 축제 이미지 영향 파악 대상 강경 발효 젓갈 축제 참가자 대상 부 설문지 배포 최종 수거 부 분석 분석 방법 18 프로그램 사용 결과 분석 다음 문화 관광 축제 체험 요소 브랜드 가치 영향 체험 요소 변수 중 놀이 일탈 브랜드 가치 유의 영향 브랜드 가치 변수 중 내용 기능 축제 이미지 유의 영향 분석 참가자 경험 재미 체험 프로그램 주최 측 제공 브랜드 가치 축제 이미지 형성 긍정 영향 사실 체험 요소 브랜드 가치 축제 이미지 
257	2014	1960년대 이후 고도 경제성장 기로 진입 우리나라 산업화 도시로 인구 집중 가속 인해 도시 주택난 교통 혼잡 문제 발생 해소 정부 주택 양 공급 확대 주력 아파트 일변도 개발 사업 주거 유형 사업 확보 위주 밀 개발 도시 경관 마구잡이 훼손 도시 역사 상실 개성 철거 위주 방식 진행 각종 규모 개발 재건축 오랫동안 거주 주민 공동체 파괴 문제점 상황 시대 부각 1990년대 중반 지역 특성 주민 자발 참여 기반 물리 환경 개선 삶의 질 향상 공동체 활성 마을 규모 개발 방식 대안 도시 관리 방법 시도 시작 우리나라 마을 사업 일본 치즈 쿠 마을 모범 시행 시작 논문 아키라 마을 발상 의거 마을 개념 마을 주민 동적 이제 마을 주민 주인 적극 가야 공동 장 의미 물질 대상 소프트웨어 면도 포괄 창조 의미 용어 마을 운동 도시 패러다임 근본 변화 의미 일본 우리나라 20세기 후반 미국 영국 프랑스 유럽 국가 근본 철학 패러다임의 전환 획일주의 근대 패러다임 주체 중심주의 근대 패러다임 전환 의미 패러다임 변환 롬 바흐 아폴론 사유 방식 헤르메스 사유 방식 전환 파악 롬 바흐 서양 문화 고대 그리스 지금 아폴론 원리 지배 아폴론 중앙 각자 자신 자리 지정 구석 빛 아폴론 질서 사물 작용 형성 근본 질서 사물 선행 아폴론 세계 저항 사람 예전 헤르메스 원 리다 파악 저항 실패 롬 바흐 생각 헤르메스 원리 파악 롬 바흐 철학 헤르 틱 국내 마을 운동 염두 고찰 마을 가지 시사점 논문 주목 바탕 관이 주도 마을 정책 문제점 다음 구체 일례 경기도 성남 기성 시가지 마을 시도 건축 차원 반영 점 가지 제안 마을 패러다임 전환 아폴론 원리 헤르메스 원리 
258	2013	서울 가로수길 대상 문화 상업 가로 자생 활성 과정 건축물 용도 변화 분석 건축물 관리 대장 이용 1980년 사이 가로수길 건축물 용도 변화 분석 결과 다음 용도 건물 연면적 분포 변화 분석 선행 정성 논의 문화 기능 입지 상업 가로 재활 성화 과정 구체 확인 린 생활 가로 개발 일단락 1997년 문화 상업 가로 정착 2008년 상업시설 소매 음식점 구성비 시점 상업시설 구성비 저층 부 상업 용도 자연 평형 상태 생각 대형 상점 침투 임대료 상승 인해 가로수길 훼손 예방 단위 상점 규모 규제 상업시설 구성비 총량 제어 생각 필요 가로수길 문화 클러스터 형성 규모 사무실 지속성 측면 문화 클러스터 가로수길 특유 도시 구조 기반 상업 가로 활성 용도 흡수 도시 구조 형성 점 시사 문화 상업 가로 자생 활성 젠트리피케이션 건축물 용도 
259	2012	산업 사회 후기 산업 사회 도시 랜드마크 활용 도시 재생 사례 조사 도시 산업화 환경오염 산업 쇠퇴 직면 도시 후기 산업화 과정 시도 도시 재생 기본 방향 유형 지역 사회 도시 마케팅 차원 진행 대형 범선 효과 차용 문화 기반 도시 재생 시대 변천 상호 연관 사례 조사 도시 재생 지역 사회 기초 소단위 진행 수복 방식 도시 개발 기업 신도시 조성 대표 개발 방식 분화 현상 도시 산업 구조 개편 문화 도시 개발 모형 도시 조직 재편 기업 규모 개발 진행 거시 도시 재생 커뮤니티 디자인 지역 커뮤니티 참여 진행 미 시적 접근 지역주의 국가주의 기반 도시 경쟁력 제고 논의 포함 도시 재생 사례 도시 사업 참여 주체 역할 시대 도시 개발 사례 문화 기반 도시 재생 사회 효과 한계 고찰 대상 도시 방문객 자료 토대 국가 도 시 근린주구 차원 문화 기반 도시 재생 지속성 랜드마크 건축물 상관관계 분석 지구촌 지자체 거주자 삶 방문객 유치 초점 생산 소비 향가 동시 추구 커뮤니티 업그레이드 차별 국내 도시 적용 시사점 논의 확대 도시 재생 문화 기반 랜드마크 도시 활성 빌바오 효과 
260	2012	자신 지역 발생 방 전쟁 소재 창작 야외 사극 시네 세니 상연 목적 년대 건립 역사 마을 시작 연평균 방문객 명 2011년 기준 세계 테마파크 성장 프랑스 성공 요인 분석 지역 문화 자원 활용 우리나라 문화콘텐츠 상품 개발 도움 시사점 제안 기술 프랑스 파리 서쪽 방 지방 레 페스 위치 프랑스대혁명 당시 반혁명 폭동 사건 진원지 이유 사회 조국 배반 죄인 반혁명 세력 오랫동안 냉대 소외 지역 문화 관광 자원 보유 농촌 마을 점 오늘날 세계 주목 역사 문화관 광도 시로 발전 성공 요인 배경 문화예술 경영학 관심 집중 제공 어 트랙 션 분석 결과 성공 요인 이야기 역사 고성 무형 지역 문화유산 첨단 디지털 기술 융합 스토리텔링 공연 콘텐츠 재생 역사 사건 실제 고성 활용 결합 역사 문화콘텐츠 상품 기획력 결과 역사 콘텐츠 활용 테마파크 범주 문회 콘텐츠 상품 기획 트렌드 바깥 세계 유행 분별 수용 자신 고유 지역 출처 역사 문화 자원 소재 형태 공연 예술 창작 지속 노력 투자 점 지역 차별 발견 성공 사례 역사 전통 현대 전승 가치 구현 지역 주민 예술 체험 교육 여가 생활 진흥 지역 경제 활성 지역 공동체 발전 기여 점 지역 문화 자원 활용 문화콘텐츠 기획 시사점 제공 역사 문화 자원 문화콘텐츠 기획 테마파크 시네 세니 
